category,term,description,number_of_genes,number_of_genes_in_background,p_value,fdr,preferredNames
Process,GO:0050896,Response to stimulus,113,7835,6.1599999999999994e-30,1.21e-26,"MAPK1,CSNK2A1,SLC6A2,HSD17B1,CYP27B1,MAPK14,NR3C1,ADORA3,FLT3,CHRM3,FABP4,CYP2C9,RORA,SLC6A4,KCNH2,MAPK3,KDR,BCHE,POLB,CDK2,SLC6A3,SRD5A1,EGFR,SIGMAR1,ADRA2A,CA2,PPARG,HMGCR,NPC1L1,ACE,CYP11B1,FABP1,ACHE,CDC25A,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,MET,BACE1,PGR,RORC,NOS2,CACNA1H,PDE2A,HSP90AA1,NR1I2,PTGES,ESR2,PDE4D,CTSB,NR3C2,PDE3A,AKR1B10,SREBF2,TOP1,PTGS1,DRD2,PTGS2,NR1I3,CYP2C19,PTPN1,ABL1,PLAU,TACR2,ALOX5,AR,F10,GABBR1,PIK3CD,CA9,POLA1,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,G6PD,MAPK8,CYP19A1,HCRTR1,PPARA,PDE7A,IL6,ADRA2C,TBXAS1,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,TOP2A,PIK3CG,EPHX2,GPBAR1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,SRD5A2,NR1H3,ABCB1,ADORA2A,PTPN11,CYP2D6,NR1H2,CES2"
Process,GO:1901701,Cellular response to oxygen-containing compound,50,1057,1.28e-29,2.23e-26,"MAPK1,MAPK14,NR3C1,CHRM3,RORA,SLC6A4,MAPK3,CDK2,SRD5A1,EGFR,SIGMAR1,CA2,PPARG,ACE,CYP11B1,FABP1,ACHE,PPARD,PTPN2,PRKDC,BACE1,RORC,NOS2,PDE2A,ESR2,PDE4D,PDE3A,AKR1B10,DRD2,PTGS2,PTPN1,ABL1,AR,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,MAPK8,IL6,OPRM1,CHRM2,ESR1,PIK3CG,GPBAR1,TYK2,JAK3,HTR2A,NR1H4,NR1H3"
Process,GO:0008202,Steroid metabolic process,31,258,3.24e-29,5.08e-26,"CYP51A1,STS,HSD17B1,CYP27B1,NR3C1,CYP2C9,SRD5A1,HMGCR,NPC1L1,CYP11B1,UGT2B7,PPARD,HSD11B2,CACNA1H,NR1I2,SERPINA6,SREBF2,HSD11B1,CYP17A1,CYP2C19,HSD17B3,AKR1C3,AKR1C2,AKR1C1,G6PD,CYP19A1,ESR1,GC,NR1H4,SRD5A2,CYP2D6"
Process,GO:0071495,Cellular response to endogenous stimulus,49,1103,8.75e-28,1.25e-24,"MAPK1,NR3C1,FLT3,CHRM3,SLC6A4,MAPK3,SRD5A1,EGFR,ADRA2A,CA2,PPARG,ACE,CYP11B1,PPARD,PTPN2,PRKDC,BACE1,PGR,CACNA1H,PDE2A,ESR2,PDE4D,CTSB,NR3C2,PDE3A,DRD2,PTGS2,PTPN1,ABL1,AR,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,PPARA,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,PIK3CG,NTRK1,TYK2,JAK3,HTR2A,NR1H4,NR1H3,PTPN11"
Process,GO:0009410,Response to xenobiotic stimulus,34,422,9.690000000000001e-27,1.2699999999999999e-23,"SLC6A2,CYP2C9,RORA,SLC6A4,KCNH2,BCHE,SLC6A3,SRD5A1,PPARG,NPC1L1,ACE,ADAM17,HSD11B2,RORC,NOS2,PDE2A,HSP90AA1,NR1I2,PDE3A,TOP1,DRD2,PTGS2,CYP2C19,ABL1,CA9,AKR1C1,DRD3,NTRK1,HTR2A,SRD5A2,ABCB1,ADORA2A,CYP2D6,CES2"
Process,GO:0071407,Cellular response to organic cyclic compound,35,508,2.13e-25,2.5600000000000003e-22,"MAPK1,NR3C1,FLT3,CHRM3,RORA,SLC6A4,MAPK3,SRD5A1,EGFR,PPARG,ACE,PPARD,PGR,RORC,PDE2A,ESR2,PDE4D,NR3C2,PDE3A,DRD2,PTGS2,ABL1,AR,AKR1C3,JAK2,DRD3,PPARA,CHEK1,OPRM1,CHRM2,ESR1,PIK3CG,GPBAR1,HTR2A,NR1H4"
Process,GO:0051716,Cellular response to stimulus,99,6357,2.33e-25,2.61e-22,"MAPK1,CSNK2A1,HSD17B1,MAPK14,NR3C1,ADORA3,FLT3,CHRM3,FABP4,CYP2C9,RORA,SLC6A4,KCNH2,MAPK3,KDR,BCHE,POLB,CDK2,SRD5A1,EGFR,SIGMAR1,ADRA2A,CA2,PPARG,NPC1L1,ACE,CYP11B1,FABP1,ACHE,CDC25A,GLUL,F2,ADAM17,PPARD,PTPN2,PRKDC,MET,BACE1,PGR,RORC,NOS2,CACNA1H,PDE2A,HSP90AA1,NR1I2,PTGES,ESR2,PDE4D,CTSB,NR3C2,PDE3A,AKR1B10,SREBF2,PTGS1,DRD2,PTGS2,NR1I3,CYP2C19,PTPN1,ABL1,PLAU,TACR2,ALOX5,AR,GABBR1,PIK3CD,POLA1,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,G6PD,MAPK8,HCRTR1,PPARA,PDE7A,IL6,ADRA2C,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,TOP2A,PIK3CG,GPBAR1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,NR1H3,ADORA2A,PTPN11,CYP2D6,NR1H2,CES2"
Process,GO:0006629,Lipid metabolic process,48,1210,4.32e-25,4.5100000000000005e-22,"CYP51A1,STS,HSD17B1,CYP27B1,MAPK14,NR3C1,CYP2C9,SRD5A1,PPARG,HMGCR,NPC1L1,CYP11B1,UGT2B7,PPARD,HSD11B2,CACNA1H,NR1I2,PTGES,SERPINA6,PDE3A,AKR1B10,SREBF2,PTGS1,HSD11B1,PTGS2,CYP17A1,CYP2C19,ALOX5,HSD17B3,PIK3CD,AKR1C3,AKR1C2,AKR1C1,G6PD,CYP19A1,PPARA,TBXAS1,ESR1,PIK3CG,GC,EPHX2,NR1H4,SRD5A2,NR1H3,PTPN11,CYP2D6,NR1H2,CES2"
Process,GO:0071310,Cellular response to organic substance,59,2019,8.26e-25,8.09e-22,"MAPK1,MAPK14,NR3C1,FLT3,CHRM3,FABP4,RORA,SLC6A4,MAPK3,KDR,SRD5A1,EGFR,ADRA2A,CA2,PPARG,ACE,CYP11B1,PPARD,PTPN2,PRKDC,BACE1,PGR,RORC,NOS2,CACNA1H,PDE2A,ESR2,PDE4D,CTSB,NR3C2,PDE3A,DRD2,PTGS2,PTPN1,ABL1,AR,PIK3CD,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,MAPK8,PPARA,IL6,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,PIK3CG,GPBAR1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,NR1H3,PTPN11"
Process,GO:0033993,Response to lipid,41,827,1.1399999999999999e-24,1.05e-21,"MAPK1,CYP27B1,MAPK14,NR3C1,FLT3,RORA,SLC6A4,MAPK3,BCHE,SRD5A1,EGFR,PPARG,ACE,ADAM17,PPARD,HSD11B2,PGR,RORC,NOS2,ESR2,NR3C2,PTGS2,ABL1,AR,CA9,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,MAPK8,CYP19A1,PPARA,IL6,TBXAS1,OPRM1,ESR1,GPBAR1,NR1H4,SRD5A2,NR1H3"
Process,GO:0010817,Regulation of hormone levels,34,525,7.68e-24,6.6900000000000006e-21,"HSD17B1,CYP27B1,NR3C1,CYP2C9,BCHE,SRD5A1,ADRA2A,PPARG,ACE,CYP11B1,UGT2B7,GLUL,PPARD,NOS2,CACNA1H,CTSB,AKR1B10,DRD2,CYP17A1,TACR2,ALOX5,HSD17B3,GABBR1,AKR1C3,AKR1C2,AKR1C1,JAK2,CYP19A1,IL6,ESR1,NR1H4,SRD5A2,PTPN11,CYP2D6"
Process,GO:0008152,Metabolic process,106,7988,1.43e-22,1.18e-19,"CYP51A1,MAPK1,CSNK2A1,STS,HSD17B1,CYP27B1,MAPK14,NR3C1,CTSD,FLT3,CDC25B,CHRM3,CYP2C9,RORA,MAPK3,KDR,BCHE,POLB,CDK2,SLC6A3,SRD5A1,EGFR,ADRA2A,CA2,PPARG,HMGCR,NPC1L1,ACE,CYP11B1,ACHE,CDC25A,UGT2B7,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,MET,BACE1,RORC,NOS2,CACNA1H,PDE2A,HSP90AA1,NR1I2,DYRK1A,PTGES,SERPINA6,PDE4D,CTSB,PDE3A,AKR1B10,SREBF2,TOP1,PTGS1,DRD2,HSD11B1,PTGS2,CYP17A1,CYP2C19,PTPN1,ABL1,PLAU,ALOX5,AR,HSD17B3,F10,PIK3CD,CA9,POLA1,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,G6PD,MAPK8,CYP19A1,PPARA,PDE7A,IL6,TBXAS1,CHEK1,FGFR1,ESR1,TOP2A,PIK3CG,GC,EPHX2,CA1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,SRD5A2,NR1H3,PTPN11,CYP2D6,PREP,NR1H2,CES2"
Process,GO:0051239,Regulation of multicellular organismal process,64,2749,5.46e-22,4.28e-19,"CYP51A1,MAPK1,CYP27B1,MAPK14,ADORA3,CHRM3,FABP4,RORA,SLC6A4,KCNH2,MAPK3,KDR,SLC6A3,EGFR,ADRA2A,PPARG,HMGCR,ACE,ACHE,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,MET,NOS2,CACNA1H,HSP90AA1,PTGES,PDE4D,PDE3A,DRD2,PTGS2,ABL1,PLAU,TACR2,ALOX5,AR,PIK3CD,POLA1,JAK2,DRD3,G6PD,CYP19A1,PPARA,IL6,ADRA2C,TBXAS1,FGFR1,OPRM1,CHRM2,ESR1,PIK3CG,NTRK1,TYK2,JAK3,HTR2A,NR1H4,NR1H3,ADORA2A,PTPN11,NR1H2"
Process,GO:0009725,Response to hormone,37,762,7.04e-22,5.26e-19,"CYP27B1,MAPK14,NR3C1,FLT3,BCHE,SRD5A1,ADRA2A,CA2,PPARG,ACE,CYP11B1,PPARD,PTPN2,PRKDC,HSD11B2,PGR,NOS2,CACNA1H,HSP90AA1,ESR2,CTSB,NR3C2,PTGS2,PTPN1,AR,AKR1C3,AKR1C2,AKR1C1,JAK2,PPARA,IL6,ESR1,TYK2,JAK3,SRD5A2,NR1H3,PTPN11"
Process,GO:1901698,Response to nitrogen compound,42,1058,9.49e-22,6.77e-19,"MAPK1,MAPK14,FLT3,CHRM3,SLC6A4,MAPK3,BCHE,CDK2,SLC6A3,SRD5A1,EGFR,CA2,PPARG,CYP11B1,ACHE,PTPN2,PRKDC,HSD11B2,BACE1,PDE2A,HSP90AA1,PDE4D,PDE3A,SREBF2,DRD2,PTGS2,PTPN1,ABL1,JAK2,DRD3,PPARA,IL6,CHEK1,OPRM1,CHRM2,PIK3CG,TYK2,JAK3,HTR2A,NR1H4,SRD5A2,ADORA2A"
Process,GO:0071704,Organic substance metabolic process,102,7522,1.3300000000000001e-21,9.08e-19,"CYP51A1,MAPK1,CSNK2A1,STS,HSD17B1,CYP27B1,MAPK14,NR3C1,CTSD,FLT3,CDC25B,CHRM3,CYP2C9,RORA,MAPK3,KDR,BCHE,POLB,CDK2,SLC6A3,SRD5A1,EGFR,ADRA2A,PPARG,HMGCR,NPC1L1,ACE,CYP11B1,ACHE,CDC25A,UGT2B7,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,MET,BACE1,NOS2,CACNA1H,PDE2A,HSP90AA1,NR1I2,DYRK1A,PTGES,SERPINA6,PDE4D,CTSB,PDE3A,AKR1B10,SREBF2,TOP1,PTGS1,DRD2,HSD11B1,PTGS2,CYP17A1,CYP2C19,PTPN1,ABL1,PLAU,ALOX5,AR,HSD17B3,F10,PIK3CD,POLA1,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,G6PD,MAPK8,CYP19A1,PPARA,PDE7A,IL6,TBXAS1,CHEK1,FGFR1,ESR1,TOP2A,PIK3CG,GC,EPHX2,NTRK1,TYK2,JAK3,HTR2A,NR1H4,SRD5A2,NR1H3,PTPN11,CYP2D6,PREP,NR1H2,CES2"
Process,GO:0120254,Olefinic compound metabolic process,21,144,1.65e-21,1.08e-18,"HSD17B1,CYP2C9,SRD5A1,CYP11B1,HSD11B2,CACNA1H,AKR1B10,PTGS1,PTGS2,CYP17A1,CYP2C19,ALOX5,HSD17B3,AKR1C3,AKR1C2,AKR1C1,CYP19A1,TBXAS1,EPHX2,SRD5A2,CYP2D6"
Process,GO:0010243,Response to organonitrogen compound,40,963,2.41e-21,1.51e-18,"MAPK1,MAPK14,FLT3,CHRM3,SLC6A4,MAPK3,BCHE,SLC6A3,SRD5A1,EGFR,CA2,PPARG,CYP11B1,PTPN2,PRKDC,HSD11B2,BACE1,PDE2A,HSP90AA1,PDE4D,PDE3A,SREBF2,DRD2,PTGS2,PTPN1,ABL1,JAK2,DRD3,PPARA,IL6,CHEK1,OPRM1,CHRM2,PIK3CG,TYK2,JAK3,HTR2A,NR1H4,SRD5A2,ADORA2A"
Process,GO:0032101,Regulation of response to external stimulus,40,964,2.5e-21,1.51e-18,"MAPK1,CYP27B1,MAPK14,FABP4,RORA,MAPK3,KDR,SLC6A3,PPARG,ACE,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,MET,BACE1,PDE2A,HSP90AA1,PTGES,DRD2,PTGS2,PTPN1,PLAU,ALOX5,JAK2,DRD3,CYP19A1,PPARA,IL6,FGFR1,OPRM1,ESR1,PIK3CG,NR1H4,NR1H3,ADORA2A,PTPN11,NR1H2"
Process,GO:0010646,Regulation of cell communication,69,3355,4.3700000000000005e-21,2.54e-18,"MAPK1,CSNK2A1,CYP27B1,MAPK14,FLT3,RORA,SLC6A4,MAPK3,KDR,BCHE,EGFR,ADRA2A,CA2,PPARG,HMGCR,ACE,ACHE,GLUL,F2,ADAM17,PPARD,PTPN2,MET,BACE1,NOS2,PDE2A,HSP90AA1,DYRK1A,ESR2,PDE4D,NR3C2,PDE3A,SREBF2,DRD2,PTGS2,PTPN1,ABL1,PLAU,TACR2,ALOX5,AR,F10,GABBR1,PIK3CD,AKR1C3,AKR1C2,JAK2,DRD3,CYP19A1,HCRTR1,PPARA,IL6,ADRA2C,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,PIK3CG,GPBAR1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,NR1H3,ADORA2A,PTPN11,NR1H2"
Process,GO:0023051,Regulation of signaling,69,3367,5.350000000000001e-21,3e-18,"MAPK1,CSNK2A1,CYP27B1,MAPK14,FLT3,RORA,SLC6A4,MAPK3,KDR,BCHE,EGFR,ADRA2A,CA2,PPARG,HMGCR,ACE,ACHE,GLUL,F2,ADAM17,PPARD,PTPN2,MET,BACE1,NOS2,PDE2A,HSP90AA1,DYRK1A,ESR2,PDE4D,NR3C2,PDE3A,SREBF2,DRD2,PTGS2,PTPN1,ABL1,PLAU,TACR2,ALOX5,AR,F10,GABBR1,PIK3CD,AKR1C3,AKR1C2,JAK2,DRD3,CYP19A1,HCRTR1,PPARA,IL6,ADRA2C,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,PIK3CG,GPBAR1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,NR1H3,ADORA2A,PTPN11,NR1H2"
Process,GO:0042127,Regulation of cell population proliferation,50,1669,5.46e-21,3e-18,"MAPK1,CSNK2A1,CYP27B1,MAPK14,ADORA3,FLT3,CDC25B,SLC6A4,MAPK3,KDR,BCHE,CDK2,EGFR,ADRA2A,PPARG,ACE,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,PGR,NOS2,PTGES,PTGS1,DRD2,PTGS2,ABL1,PLAU,ALOX5,AR,GABBR1,PIK3CD,AKR1C3,AKR1C2,JAK2,DRD3,IL6,CHEK1,FGFR1,OPRM1,ESR1,GPBAR1,NTRK1,TYK2,JAK3,HTR2A,ADORA2A"
Process,GO:0048518,Positive regulation of biological process,92,6207,1.21e-20,6.31e-18,"MAPK1,CSNK2A1,CYP27B1,MAPK14,NR3C1,CTSD,FLT3,CDC25B,CHRM3,FABP4,RORA,SLC6A4,KCNH2,MAPK3,KDR,CDK2,SLC6A3,EGFR,ADRA2A,CA2,PPARG,ACE,FABP1,ACHE,CDC25A,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,MET,BACE1,PGR,RORC,NOS2,CACNA1H,PDE2A,HSP90AA1,NR1I2,DYRK1A,PTGES,ESR2,PDE4D,NR3C2,PDE3A,SREBF2,DRD2,PTGS2,NR1I3,PTPN1,ABL1,PLAU,TACR2,ALOX5,AR,F10,GABBR1,PIK3CD,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,G6PD,MAPK8,CYP19A1,HCRTR1,PPARA,IL6,ADRA2C,TBXAS1,CHEK1,FGFR1,OPRM1,ESR1,TOP2A,PIK3CG,EPHX2,GPBAR1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,NR1H3,ABCB1,ADORA2A,PTPN11,NR1H2"
Process,GO:0044238,Primary metabolic process,98,7156,2.62e-20,1.33e-17,"CYP51A1,MAPK1,CSNK2A1,STS,HSD17B1,CYP27B1,MAPK14,NR3C1,CTSD,FLT3,CDC25B,CHRM3,CYP2C9,RORA,MAPK3,KDR,BCHE,POLB,CDK2,SRD5A1,EGFR,ADRA2A,PPARG,HMGCR,NPC1L1,ACE,CYP11B1,ACHE,CDC25A,UGT2B7,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,MET,BACE1,NOS2,CACNA1H,PDE2A,HSP90AA1,NR1I2,DYRK1A,PTGES,SERPINA6,PDE4D,CTSB,PDE3A,AKR1B10,SREBF2,TOP1,PTGS1,HSD11B1,PTGS2,CYP17A1,CYP2C19,PTPN1,ABL1,PLAU,ALOX5,AR,HSD17B3,F10,PIK3CD,POLA1,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,G6PD,MAPK8,CYP19A1,PPARA,PDE7A,TBXAS1,CHEK1,FGFR1,ESR1,TOP2A,PIK3CG,GC,EPHX2,NTRK1,TYK2,JAK3,HTR2A,NR1H4,SRD5A2,NR1H3,PTPN11,CYP2D6,PREP,NR1H2,CES2"
Process,GO:0071396,Cellular response to lipid,30,502,4.33e-20,2.12e-17,"MAPK1,MAPK14,NR3C1,FLT3,RORA,SLC6A4,MAPK3,SRD5A1,EGFR,PPARG,ACE,PPARD,PGR,RORC,NOS2,ESR2,NR3C2,ABL1,AR,AKR1C3,AKR1C2,AKR1C1,JAK2,MAPK8,PPARA,IL6,ESR1,GPBAR1,NR1H4,NR1H3"
Process,GO:0051049,Regulation of transport,50,1763,5.47e-20,2.6e-17,"CYP51A1,MAPK1,MAPK14,ADORA3,CHRM3,SLC6A4,KCNH2,MAPK3,ADRA2A,CA2,PPARG,HMGCR,ACE,ACHE,GLUL,F2,PPARD,BACE1,NOS2,CACNA1H,HSP90AA1,PTGES,PDE4D,SREBF2,DRD2,PTGS2,PTPN1,ABL1,TACR2,ALOX5,GABBR1,JAK2,DRD3,G6PD,MAPK8,CYP19A1,PPARA,IL6,ADRA2C,OPRM1,CHRM2,PIK3CG,JAK3,HTR2A,NR1H4,NR1H3,ABCB1,ADORA2A,PTPN11,NR1H2"
Process,GO:0032879,Regulation of localization,54,2103,7.5e-20,3.46e-17,"CYP51A1,MAPK1,MAPK14,CTSD,ADORA3,CHRM3,SLC6A4,KCNH2,MAPK3,EGFR,ADRA2A,CA2,PPARG,HMGCR,ACE,ACHE,GLUL,F2,PPARD,PTPN2,BACE1,NOS2,CACNA1H,HSP90AA1,PTGES,PDE4D,SREBF2,DRD2,PTGS2,PTPN1,ABL1,TACR2,ALOX5,AR,GABBR1,JAK2,DRD3,G6PD,MAPK8,CYP19A1,PPARA,IL6,ADRA2C,OPRM1,CHRM2,PIK3CG,JAK3,HTR2A,NR1H4,NR1H3,ABCB1,ADORA2A,PTPN11,NR1H2"
Process,GO:0032501,Multicellular organismal process,92,6490,3.36e-19,1.5e-16,"MAPK1,STS,SLC6A2,HSD17B1,CYP27B1,MAPK14,NR3C1,FLT3,CDC25B,CHRM3,RORA,SLC6A4,KCNH2,MAPK3,KDR,BCHE,POLB,SLC6A3,SRD5A1,EGFR,SIGMAR1,ADRA2A,PPARG,HMGCR,NPC1L1,ACE,CYP11B1,FABP1,ACHE,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,MET,BACE1,PGR,RORC,NOS2,CACNA1H,PDE2A,HSP90AA1,DYRK1A,PTGES,PDE4D,CTSB,PDE3A,TOP1,PTGS1,DRD2,HSD11B1,PTGS2,NR1I3,ABL1,PLAU,TACR2,ALOX5,AR,HSD17B3,F10,GABBR1,PIK3CD,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,G6PD,CYP19A1,HCRTR1,PPARA,IL6,ADRA2C,TBXAS1,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,TOP2A,PIK3CG,NTRK1,JAK3,HTR2A,SRD5A2,ABCB1,ADORA2A,PTPN11"
Process,GO:0048522,Positive regulation of cellular process,85,5584,6.58e-19,2.87e-16,"MAPK1,CSNK2A1,CYP27B1,MAPK14,NR3C1,CTSD,FLT3,CDC25B,RORA,SLC6A4,KCNH2,MAPK3,KDR,CDK2,EGFR,ADRA2A,CA2,PPARG,ACE,FABP1,ACHE,CDC25A,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,MET,BACE1,PGR,RORC,NOS2,CACNA1H,HSP90AA1,NR1I2,DYRK1A,PTGES,ESR2,NR3C2,PDE3A,SREBF2,DRD2,PTGS2,NR1I3,PTPN1,ABL1,PLAU,TACR2,ALOX5,AR,F10,GABBR1,PIK3CD,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,G6PD,MAPK8,CYP19A1,HCRTR1,PPARA,IL6,ADRA2C,CHEK1,FGFR1,OPRM1,ESR1,TOP2A,PIK3CG,GPBAR1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,NR1H3,ABCB1,ADORA2A,PTPN11,NR1H2"
Process,GO:0044281,Small molecule metabolic process,47,1645,8.49e-19,3.6e-16,"CYP51A1,MAPK1,HSD17B1,CYP27B1,MAPK14,CYP2C9,RORA,SRD5A1,CA2,PPARG,HMGCR,NPC1L1,CYP11B1,UGT2B7,GLUL,PPARD,HSD11B2,NOS2,CACNA1H,PDE2A,PTGES,PDE4D,AKR1B10,SREBF2,PTGS1,PTGS2,CYP17A1,CYP2C19,ALOX5,HSD17B3,CA9,AKR1C3,AKR1C2,AKR1C1,G6PD,CYP19A1,PPARA,PDE7A,TBXAS1,GC,EPHX2,CA1,HTR2A,NR1H4,SRD5A2,CYP2D6,CES2"
Process,GO:1903530,Regulation of secretion by cell,30,564,9.53e-19,3.93e-16,"CYP51A1,ADORA3,SLC6A4,ADRA2A,PPARG,HMGCR,ACHE,GLUL,PPARD,BACE1,NOS2,CACNA1H,PTGES,DRD2,TACR2,ALOX5,GABBR1,JAK2,DRD3,CYP19A1,IL6,ADRA2C,OPRM1,CHRM2,HTR2A,NR1H4,NR1H3,ADORA2A,PTPN11,NR1H2"
Process,GO:0051046,Regulation of secretion,31,620,1.23e-18,4.95e-16,"CYP51A1,ADORA3,SLC6A4,ADRA2A,PPARG,HMGCR,ACE,ACHE,GLUL,PPARD,BACE1,NOS2,CACNA1H,PTGES,DRD2,TACR2,ALOX5,GABBR1,JAK2,DRD3,CYP19A1,IL6,ADRA2C,OPRM1,CHRM2,HTR2A,NR1H4,NR1H3,ADORA2A,PTPN11,NR1H2"
Process,GO:0032870,Cellular response to hormone stimulus,28,489,2.64e-18,1.01e-15,"NR3C1,FLT3,SRD5A1,ADRA2A,CA2,PPARG,ACE,CYP11B1,PPARD,PTPN2,PRKDC,PGR,CACNA1H,ESR2,CTSB,NR3C2,PTPN1,AR,AKR1C3,AKR1C2,AKR1C1,JAK2,PPARA,ESR1,TYK2,JAK3,NR1H3,PTPN11"
Process,GO:1901699,Cellular response to nitrogen compound,31,637,2.57e-18,1.01e-15,"MAPK1,CHRM3,SLC6A4,MAPK3,CDK2,SRD5A1,EGFR,CA2,PPARG,CYP11B1,ACHE,PTPN2,PRKDC,BACE1,PDE2A,PDE4D,PDE3A,DRD2,PTGS2,PTPN1,ABL1,JAK2,DRD3,CHEK1,OPRM1,CHRM2,PIK3CG,TYK2,JAK3,HTR2A,NR1H4"
Process,GO:0071417,Cellular response to organonitrogen compound,29,574,1.47e-17,5.49e-15,"MAPK1,CHRM3,SLC6A4,MAPK3,SRD5A1,EGFR,CA2,PPARG,CYP11B1,PTPN2,PRKDC,BACE1,PDE2A,PDE4D,PDE3A,DRD2,PTGS2,PTPN1,ABL1,JAK2,DRD3,CHEK1,OPRM1,CHRM2,PIK3CG,TYK2,JAK3,HTR2A,NR1H4"
Process,GO:0010647,Positive regulation of cell communication,46,1693,1.57e-17,5.71e-15,"MAPK1,CSNK2A1,CYP27B1,FLT3,MAPK3,KDR,EGFR,ADRA2A,CA2,PPARG,GLUL,F2,ADAM17,PPARD,PTPN2,MET,HSP90AA1,NR3C2,DRD2,PTGS2,PTPN1,ABL1,TACR2,AR,F10,GABBR1,PIK3CD,AKR1C3,AKR1C2,JAK2,DRD3,CYP19A1,HCRTR1,IL6,ADRA2C,FGFR1,OPRM1,PIK3CG,GPBAR1,NTRK1,TYK2,HTR2A,NR1H4,NR1H3,ADORA2A,PTPN11"
Process,GO:1901615,Organic hydroxy compound metabolic process,27,478,1.6e-17,5.71e-15,"CYP51A1,HSD17B1,CYP27B1,CYP2C9,SLC6A3,SRD5A1,HMGCR,NPC1L1,CYP11B1,PPARD,HSD11B2,CACNA1H,CTSB,AKR1B10,SREBF2,DRD2,HSD17B3,AKR1C3,AKR1C2,AKR1C1,DRD3,G6PD,CYP19A1,GC,NR1H4,SRD5A2,CYP2D6"
Process,GO:0023056,Positive regulation of signaling,46,1698,1.75e-17,6.1e-15,"MAPK1,CSNK2A1,CYP27B1,FLT3,MAPK3,KDR,EGFR,ADRA2A,CA2,PPARG,GLUL,F2,ADAM17,PPARD,PTPN2,MET,HSP90AA1,NR3C2,DRD2,PTGS2,PTPN1,ABL1,TACR2,AR,F10,GABBR1,PIK3CD,AKR1C3,AKR1C2,JAK2,DRD3,CYP19A1,HCRTR1,IL6,ADRA2C,FGFR1,OPRM1,PIK3CG,GPBAR1,NTRK1,TYK2,HTR2A,NR1H4,NR1H3,ADORA2A,PTPN11"
